date,open,close,high,low,volume
2025-11-06,61.1,64.45,75.8,61.1,259725.4
2025-11-07,55.98,50.96,55.98,50.81,214669.26
2025-11-10,48.01,46.12,49.28,46.0,152460.57
2025-11-11,46.15,46.97,48.1,45.08,138621.49
2025-11-12,46.0,44.66,46.55,44.6,94666.47
2025-11-13,44.22,43.19,44.22,43.03,82741.6
2025-11-14,42.9,42.32,43.5,42.32,60852.45
2025-11-17,42.17,42.43,42.72,41.7,52336.99
2025-11-18,42.13,41.23,42.13,41.04,52058.88
2025-11-19,41.11,41.04,41.93,40.94,39620.99
2025-11-20,41.11,41.13,41.58,40.71,40112.75
2025-11-21,40.81,38.68,40.99,38.66,48249.4
2025-11-24,38.69,38.57,39.09,38.18,28670.52
2025-11-25,38.79,39.18,39.47,38.58,30078.08
2025-11-26,39.26,38.81,39.39,38.78,25794.89
2025-11-27,38.61,39.12,39.53,38.6,30351.11
2025-11-28,38.98,38.95,39.26,38.58,20642.76
2025-12-01,38.93,39.35,39.37,38.93,21371.17
2025-12-02,39.4,39.38,39.75,38.9,30189.43
2025-12-03,39.37,38.33,39.37,38.1,30143.79
2025-12-04,38.24,37.75,38.91,37.75,25690.83
2025-12-05,37.76,37.57,37.9,37.28,21715.53
2025-12-08,37.8,39.23,39.28,37.65,51522.74
2025-12-09,39.88,42.15,42.55,39.88,126330.02
2025-12-10,41.48,41.88,42.68,40.6,84836.87
2025-12-11,42.24,42.81,42.81,41.4,88559.24
2025-12-12,42.01,40.57,42.16,40.55,66367.07
2025-12-15,40.1,39.11,40.1,39.05,50174.75
2025-12-16,39.0,39.54,40.95,39.0,58858.02
2025-12-17,38.75,38.61,39.37,37.75,46024.62
2025-12-18,38.2,38.08,38.93,38.04,27836.64
2025-12-19,38.24,39.09,39.72,37.86,43153.55
2025-12-22,39.12,39.04,39.48,38.85,31136.99
2025-12-23,38.94,38.07,38.97,37.68,30115.24
2025-12-24,38.0,38.33,38.59,37.88,17254.62
2025-12-25,38.32,38.3,38.32,37.96,19981.97
2025-12-26,38.2,38.02,38.23,37.71,25244.17
2025-12-29,38.14,37.72,38.46,37.67,23083.43
2025-12-30,37.7,37.39,37.71,37.38,20563.14
2025-12-31,37.57,36.91,37.57,36.85,25888.85
2026-01-05,36.9,37.35,37.36,36.78,25870.78
2026-01-06,37.3,37.96,38.28,37.23,36527.96
2026-01-07,37.71,38.16,38.31,37.6,33426.71
2026-01-08,38.0,38.07,38.36,37.92,24135.82
2026-01-09,38.03,38.27,38.47,37.91,31399.51
2026-01-12,38.28,38.45,38.45,38.05,29621.36
2026-01-13,38.48,38.46,39.53,38.06,40938.02
2026-01-14,38.36,38.01,38.65,37.74,36373.6
2026-01-15,38.02,39.52,39.91,38.0,66675.24
2026-01-16,39.39,39.39,39.97,39.2,37372.68
2026-01-19,39.2,39.85,40.06,39.05,33308.7
2026-01-20,39.7,39.36,40.1,39.09,32729.17
2026-01-21,39.1,39.95,40.06,38.86,35764.11
2026-01-22,39.96,39.55,40.25,39.43,27018.24
2026-01-23,39.43,40.03,40.1,39.36,32365.18
2026-01-26,40.2,39.44,40.27,38.87,29957.8
2026-01-27,39.0,39.18,39.33,37.8,25857.76
2026-01-28,39.0,38.8,39.31,38.61,20207.54
2026-01-29,38.7,37.9,38.7,37.85,20467.0
2026-01-30,37.96,38.07,38.48,37.8,13661.94
2026-02-02,38.33,37.34,38.33,37.34,13415.0
2026-02-03,37.5,37.57,37.7,37.2,10861.25
2026-02-04,37.49,38.08,38.5,37.34,20276.99
2026-02-05,37.93,38.26,38.99,37.88,20841.88
2026-02-06,38.03,37.86,38.33,37.55,14518.0
2026-02-09,37.8,38.01,38.09,37.8,11308.81
2026-02-10,38.01,38.22,38.75,37.95,16568.17
2026-02-11,38.33,37.88,38.33,37.85,9315.17
2026-02-12,37.88,37.62,38.03,37.56,9655.0
2026-02-13,37.65,37.44,38.05,37.4,10226.27
2026-02-24,37.68,37.88,37.98,37.51,11183.49
2026-02-25,37.87,37.74,38.02,37.69,16063.0
2026-02-26,37.74,37.93,37.95,37.56,17740.22
2026-02-27,37.83,37.72,37.97,37.6,13719.28
2026-03-02,37.3,36.68,37.3,36.6,21910.38
2026-03-03,36.71,35.36,37.13,35.35,19001.3
2026-03-04,35.32,35.41,35.93,34.71,15592.12
2026-03-05,35.55,35.49,35.79,35.43,9599.86
2026-03-06,35.47,35.85,35.85,35.23,6919.48
2026-03-09,35.66,35.54,35.73,35.03,8356.27
2026-03-10,35.54,35.98,36.18,35.54,8322.96
2026-03-11,36.03,35.85,36.07,35.8,7689.64
2026-03-12,35.84,36.35,36.4,35.68,18403.52
2026-03-13,36.0,36.4,36.74,35.95,14045.23
2026-03-16,36.3,36.86,36.86,36.14,14886.14
2026-03-17,36.86,39.37,40.0,36.68,73627.97
2026-03-18,38.98,38.68,38.98,37.91,48251.5
2026-03-19,38.02,37.37,38.46,37.13,30092.89
2026-03-20,37.11,35.7,37.69,35.65,25761.74
2026-03-23,35.0,33.39,35.01,33.33,23251.9
2026-03-24,33.82,34.02,34.17,33.35,14869.78
2026-03-25,34.02,34.42,34.59,33.92,12586.75
2026-03-26,34.2,33.61,34.45,33.47,12325.9
2026-03-27,33.5,33.84,33.98,33.16,12059.52
2026-03-30,33.07,33.46,33.53,32.92,11466.95
2026-03-31,33.48,33.13,33.77,33.1,9271.85
2026-04-01,33.6,33.46,33.68,33.26,8712.23
2026-04-02,33.6,33.21,34.08,33.08,11578.8
2026-04-03,33.24,32.21,33.32,32.13,12530.43
