date,open,close,high,low,volume
2026-02-03,60.0,57.73,70.0,57.7,173359.31
2026-02-04,53.4,51.62,55.68,50.9,133127.69
2026-02-05,49.36,51.0,53.89,49.05,112594.0
2026-02-06,50.77,48.09,50.77,48.03,93939.6
2026-02-09,48.07,46.62,48.57,46.62,83706.22
2026-02-10,46.1,45.53,46.57,44.67,81636.9
2026-02-11,45.2,44.44,45.2,44.38,46376.46
2026-02-12,44.29,43.88,44.67,43.86,29089.19
2026-02-13,44.05,43.54,44.28,43.48,27620.65
2026-02-24,43.8,44.3,44.3,43.45,28485.91
2026-02-25,44.35,44.53,44.59,44.07,25402.02
2026-02-26,44.5,44.37,44.99,44.31,24721.31
2026-02-27,44.37,43.96,44.41,43.81,18463.67
2026-03-02,43.4,42.14,43.47,42.11,27478.59
2026-03-03,42.2,40.8,42.59,40.67,23738.93
2026-03-04,40.7,40.67,40.85,40.08,14575.16
2026-03-05,41.2,40.58,41.31,40.45,14137.8
2026-03-06,40.48,41.4,41.47,40.44,15018.74
2026-03-09,41.0,41.21,41.34,40.68,12943.32
2026-03-10,41.31,41.78,41.79,41.31,15632.7
2026-03-11,41.79,41.65,41.79,41.48,11016.76
2026-03-12,41.61,41.99,42.41,41.48,16845.99
2026-03-13,41.8,41.73,42.34,41.69,16555.56
2026-03-16,41.7,42.04,42.2,41.57,12598.12
2026-03-17,42.1,44.34,44.44,42.02,58238.72
2026-03-18,44.0,44.18,44.32,42.73,38764.6
2026-03-19,43.59,43.35,45.1,43.2,36536.98
2026-03-20,43.0,41.0,43.55,40.84,30489.67
2026-03-23,40.0,37.97,40.0,37.92,25984.71
2026-03-24,38.69,39.56,39.78,38.02,17998.34
2026-03-25,39.5,39.66,39.78,39.3,14383.84
2026-03-26,39.66,39.25,40.3,39.03,10283.12
2026-03-27,38.76,39.44,39.54,38.7,8110.39
2026-03-30,39.0,39.25,39.28,38.4,10554.38
2026-03-31,39.01,38.78,39.59,38.77,10572.33
2026-04-01,39.3,39.52,39.68,39.24,11471.91
2026-04-02,39.53,39.96,40.12,39.22,18373.5
2026-04-03,39.79,38.82,40.4,38.7,15847.03
