date,open,close,high,low,volume
2025-12-30,60.0,50.01,64.5,49.99,166619.28
2025-12-31,44.5,43.15,47.47,42.89,117207.03
2026-01-05,42.45,42.36,44.97,42.0,78795.14
2026-01-06,41.43,41.74,42.6,41.22,75619.55
2026-01-07,41.45,40.19,41.88,40.17,74606.29
2026-01-08,40.61,40.38,40.96,39.9,44982.15
2026-01-09,40.5,40.26,40.65,40.19,34916.21
2026-01-12,40.26,40.34,40.49,39.88,40290.28
2026-01-13,40.24,40.45,41.09,39.88,45445.84
2026-01-14,40.44,40.71,41.08,40.2,40627.71
2026-01-15,40.73,42.16,42.24,40.72,57055.48
2026-01-16,42.98,43.67,43.99,42.25,58256.0
2026-01-19,44.06,44.42,46.45,43.6,65770.79
2026-01-20,43.61,42.91,44.21,42.65,37784.82
2026-01-21,42.51,42.99,43.5,42.34,21689.75
2026-01-22,42.86,42.25,42.88,42.01,23293.98
2026-01-23,42.11,42.19,42.26,41.6,23854.4
2026-01-26,42.12,42.44,42.52,41.87,21570.78
2026-01-27,42.3,42.77,42.77,40.84,23293.13
2026-01-28,42.36,42.76,43.85,42.36,28587.53
2026-01-29,42.38,44.55,44.75,41.47,44670.34
2026-01-30,44.1,44.68,44.99,43.44,29748.89
2026-02-02,44.69,42.78,46.85,42.78,52677.05
2026-02-03,43.48,43.28,44.17,42.58,22471.29
2026-02-04,43.2,43.63,43.98,43.0,15728.63
2026-02-05,43.42,43.97,44.5,42.78,22256.49
2026-02-06,43.52,44.6,45.16,43.3,22322.09
2026-02-09,44.94,44.77,45.5,44.15,19646.37
2026-02-10,44.85,45.75,47.77,44.85,31454.47
2026-02-11,45.5,47.18,48.18,44.66,43426.12
2026-02-12,47.6,46.38,47.93,46.3,24165.24
2026-02-13,46.01,46.15,47.08,45.87,13595.49
2026-02-24,46.16,50.77,50.77,45.15,54062.75
2026-02-25,50.56,55.85,55.85,50.03,33496.98
2026-02-26,56.5,56.66,61.44,55.51,95270.99
2026-02-27,55.0,56.35,59.19,54.34,58445.14
2026-03-02,54.7,54.05,55.5,52.52,47879.22
2026-03-03,54.3,49.83,54.43,49.82,37615.0
2026-03-04,49.2,54.81,54.81,49.09,25114.05
2026-03-05,56.01,50.82,56.4,50.5,50877.98
2026-03-06,52.27,50.47,53.3,49.28,45248.05
2026-03-09,49.74,50.98,53.98,49.65,40434.88
2026-03-10,50.98,51.25,52.0,49.58,37850.0
2026-03-11,51.0,50.58,52.22,50.28,37421.09
2026-03-12,50.33,48.8,50.33,47.7,36472.73
2026-03-13,48.46,49.3,51.15,48.46,25515.41
2026-03-16,49.15,48.2,49.6,47.74,22441.63
2026-03-17,48.1,46.69,48.84,46.5,23825.91
2026-03-18,46.88,47.13,47.21,45.65,22515.34
