date,open,close,high,low,volume
2026-01-06,131.15,132.0,152.0,125.0,143858.99
2026-01-07,136.56,140.83,147.39,134.0,120755.95
2026-01-08,134.63,132.0,136.7,128.05,80541.6
2026-01-09,129.0,129.79,136.95,126.67,70294.95
2026-01-12,128.01,138.5,192.0,127.2,127200.21
2026-01-13,130.0,146.0,149.5,128.0,109830.23
2026-01-14,140.01,141.67,146.72,138.15,69401.98
2026-01-15,148.01,155.84,155.84,148.01,47746.57
2026-01-16,151.48,155.3,168.0,151.0,59500.96
2026-01-19,155.5,156.9,164.8,152.35,48645.96
2026-01-20,158.98,153.0,158.99,150.58,34387.6
2026-01-21,151.01,152.67,154.3,148.33,26464.21
2026-01-22,150.28,162.0,164.99,150.22,37553.22
2026-01-23,160.67,159.26,165.0,158.11,22547.77
2026-01-26,159.0,159.9,165.0,158.02,24190.82
2026-01-27,161.4,154.18,161.5,150.6,22900.91
2026-01-28,152.3,148.1,153.8,147.5,21517.61
2026-01-29,146.81,145.5,148.0,143.5,25525.87
2026-01-30,146.47,145.35,150.28,145.26,24898.52
2026-02-02,143.0,146.91,154.55,140.58,30182.93
2026-02-03,148.0,151.3,153.66,148.0,17908.97
2026-02-04,150.11,153.36,155.5,149.0,19010.02
2026-02-05,152.0,166.5,168.7,151.3,44572.64
2026-02-06,166.6,160.35,169.8,159.92,29734.41
2026-02-09,161.24,161.89,163.18,158.51,15854.15
2026-02-10,160.66,157.79,160.8,153.01,22494.63
2026-02-11,157.46,150.61,157.46,150.28,19819.92
2026-02-12,151.82,148.19,151.82,147.81,12232.59
2026-02-13,148.55,148.5,150.66,147.91,10912.94
2026-02-24,148.41,142.53,148.43,141.33,21703.67
2026-02-25,143.03,142.89,143.3,141.53,13111.07
2026-02-26,142.36,139.62,142.5,139.3,13361.18
2026-02-27,139.95,142.2,142.69,139.63,11756.93
2026-03-02,139.5,134.42,139.8,133.84,16067.05
2026-03-03,134.68,135.3,138.88,134.68,11999.4
2026-03-04,135.4,133.0,136.8,132.0,8166.02
2026-03-05,135.0,135.35,136.49,134.0,9352.07
2026-03-06,135.0,138.63,139.13,134.4,9647.0
2026-03-09,136.78,137.19,137.79,134.02,9629.39
2026-03-10,137.3,142.1,142.38,137.3,12525.82
2026-03-11,141.6,140.65,142.2,139.2,7198.0
2026-03-12,140.0,143.1,143.6,139.6,11439.0
2026-03-13,141.6,140.66,145.85,140.26,9250.72
2026-03-16,140.78,141.38,143.5,140.0,6405.94
2026-03-17,140.36,143.33,145.0,140.36,10661.4
2026-03-18,142.83,139.4,143.83,137.07,10932.17
