date,open,close,high,low,volume
2025-10-17,24.59,29.46,29.78,23.88,853285.88
2025-10-20,27.78,25.77,29.18,25.62,619872.48
2025-10-21,24.52,25.77,27.17,23.92,555594.82
2025-10-22,24.36,23.49,25.09,23.34,522213.53
2025-10-23,22.83,23.81,24.46,22.41,475854.24
2025-10-24,23.43,26.2,26.2,23.03,445683.41
2025-10-27,26.8,24.57,27.02,23.95,597886.97
2025-10-28,23.97,23.3,24.31,23.09,359690.68
2025-10-29,23.04,23.55,24.09,23.02,289815.19
2025-10-30,23.3,22.83,23.53,22.82,235748.85
2025-10-31,22.63,22.53,22.79,22.44,158912.1
2025-11-03,22.43,22.75,22.76,22.07,146236.56
2025-11-04,22.63,22.28,22.63,22.1,141306.72
2025-11-05,22.09,22.75,23.15,21.99,187531.01
2025-11-06,22.43,22.39,22.52,22.28,135323.01
2025-11-07,22.4,22.11,22.44,22.09,108219.74
2025-11-10,22.15,22.22,22.3,22.02,80890.36
2025-11-11,22.29,22.33,22.4,22.11,98549.28
2025-11-12,22.34,22.68,22.82,22.06,163356.88
2025-11-13,22.79,22.54,22.79,22.38,120466.47
2025-11-14,22.41,22.53,22.96,22.33,143142.57
2025-11-17,22.62,21.68,22.62,21.67,157443.52
2025-11-18,21.77,20.85,21.77,20.76,140486.67
2025-11-19,20.68,20.88,21.15,20.58,83734.04
2025-11-20,20.88,20.73,21.07,20.69,59874.94
2025-11-21,20.5,19.8,20.68,19.45,94834.83
2025-11-24,19.91,19.88,20.08,19.66,57349.42
2025-11-25,19.9,20.03,20.3,19.8,68181.1
2025-11-26,20.03,20.34,20.5,19.96,77718.76
2025-11-27,20.33,20.04,20.43,20.0,61012.19
2025-11-28,20.04,20.0,20.2,19.88,48111.45
2025-12-01,19.93,20.25,20.31,19.93,58252.64
2025-12-02,20.4,20.2,20.63,20.15,69290.1
2025-12-03,20.2,20.95,21.59,19.8,163511.57
2025-12-04,20.63,20.23,20.75,20.21,95569.35
2025-12-05,20.16,20.17,20.35,19.98,52820.56
2025-12-08,20.17,20.25,20.3,20.11,55305.88
2025-12-09,20.26,20.08,20.32,20.05,53788.22
2025-12-10,20.08,20.28,20.42,20.05,57125.43
2025-12-11,20.3,20.58,20.9,20.19,112993.26
2025-12-12,20.4,20.69,20.87,20.19,101362.4
2025-12-15,20.6,20.23,20.64,20.19,65136.82
2025-12-16,20.08,19.46,20.35,19.44,79960.11
2025-12-17,19.41,19.37,19.46,19.0,60757.77
2025-12-18,19.28,19.23,19.4,19.17,34051.36
2025-12-19,19.28,19.42,19.44,19.2,39314.49
2025-12-22,19.41,19.52,19.64,19.39,37369.63
2025-12-23,19.5,19.09,19.54,19.08,53822.4
2025-12-24,19.1,19.25,19.26,18.95,38273.19
2025-12-25,19.25,19.3,19.34,19.06,36951.95
2025-12-26,19.22,19.19,19.37,19.15,38885.89
2025-12-29,19.2,20.57,21.02,19.09,224684.24
2025-12-30,20.57,20.27,21.0,20.26,170384.0
2025-12-31,20.42,20.01,20.5,19.94,78824.32
2026-01-05,20.01,20.31,20.44,19.94,73043.63
2026-01-06,20.32,20.38,20.48,20.27,66206.22
2026-01-07,20.3,20.58,20.74,20.27,86435.59
2026-01-08,20.62,20.58,20.65,20.38,65828.05
2026-01-09,20.48,20.54,20.86,20.4,81879.98
2026-01-12,20.54,20.66,20.68,20.1,100704.22
2026-01-13,20.66,20.8,21.18,20.45,148088.64
2026-01-14,20.86,20.46,20.86,20.26,109830.03
2026-01-15,20.35,20.42,20.59,20.21,49754.45
2026-01-16,20.42,20.56,20.67,20.35,47402.94
2026-01-19,20.75,20.62,20.75,20.5,51580.0
2026-01-20,20.63,20.75,20.89,20.52,71393.04
2026-01-21,20.66,20.98,21.09,20.33,97291.29
2026-01-22,21.08,20.73,21.09,20.7,69291.52
2026-01-23,20.74,21.2,21.35,20.66,110694.12
2026-01-26,21.29,20.98,21.34,20.74,87797.03
2026-01-27,20.89,20.61,20.89,20.11,78042.8
2026-01-28,20.46,20.38,20.58,20.26,46956.97
2026-01-29,20.36,19.9,20.43,19.87,63110.56
2026-01-30,19.91,20.01,20.11,19.59,47725.0
